Iteration,Set Voltage (V),Measured Reading,Chosen Voltage (V),Recorded Reading,Maximal Voltage (V),Maximal Reading
1,-1.000292,0.00018,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,-0.800292,0.000188,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,-0.600292,0.000195,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,-0.40029200000000015,0.000205,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,-0.20029200000000016,0.000205,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,-0.00029200000000022204,0.00018,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,0.19970799999999975,0.000184,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,0.3997079999999997,0.000184,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,0.5997079999999997,0.00017,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,0.7997079999999996,0.000178,0.5997079999999997,0.162,-0.966958666666667,0.000209
1,0.9997079999999996,0.000188,0.5997079999999997,0.162,-0.966958666666667,0.000209
